Report,Report date,Account id,Account name,Amount
Profit and Loss,2026-03-15,4001,Processing Revenue,6890200
Profit and Loss,2026-03-15,4002,Processing Costs,2618280
Profit and Loss,2026-03-15,5001,Verification Fees,12400
Profit and Loss,2026-03-15,5003,Bank Charges & Fees,35
Profit and Loss,2026-03-15,5004,Legal & Professional Services,11200
Profit and Loss,2026-03-15,5006,Contractors,52300
Profit and Loss,2026-03-15,5007,Employee Benefits,8900
Profit and Loss,2026-03-15,5008,Payroll Taxes,14200
Profit and Loss,2026-03-15,5009,Salaries & Wages,189500
Profit and Loss,2026-03-15,5010,Software Subscriptions,38700
Profit and Loss,2026-03-15,5011,Travel,420
Profit and Loss,2026-03-15,6001,Other Income,1850
Profit and Loss,2026-02-28,4001,Processing Revenue,12450800
Profit and Loss,2026-02-28,4002,Processing Costs,4731300
Profit and Loss,2026-02-28,5001,Verification Fees,21300
Profit and Loss,2026-02-28,5002,Unallocated Expenses,8400
Profit and Loss,2026-02-28,5003,Bank Charges & Fees,62
Profit and Loss,2026-02-28,5004,Legal & Professional Services,24600
Profit and Loss,2026-02-28,5005,Office Expenses,180
Profit and Loss,2026-02-28,5006,Contractors,89400
Profit and Loss,2026-02-28,5007,Employee Benefits,15200
Profit and Loss,2026-02-28,5008,Payroll Taxes,28100
Profit and Loss,2026-02-28,5009,Salaries & Wages,362000
Profit and Loss,2026-02-28,5010,Software Subscriptions,41200
Profit and Loss,2026-02-28,5011,Travel,1200
Profit and Loss,2026-02-28,5016,Chargeback Losses,18900
Profit and Loss,2026-02-28,5017,Insurance,2100
Profit and Loss,2026-02-28,6001,Other Income,3200
Profit and Loss,2026-01-31,4001,Processing Revenue,11820400
Profit and Loss,2026-01-31,4002,Processing Costs,4491750
Profit and Loss,2026-01-31,5001,Verification Fees,19800
Profit and Loss,2026-01-31,5002,Unallocated Expenses,6200
Profit and Loss,2026-01-31,5003,Bank Charges & Fees,55
Profit and Loss,2026-01-31,5004,Legal & Professional Services,22100
Profit and Loss,2026-01-31,5005,Office Expenses,160
Profit and Loss,2026-01-31,5006,Contractors,84200
Profit and Loss,2026-01-31,5007,Employee Benefits,14800
Profit and Loss,2026-01-31,5008,Payroll Taxes,26900
Profit and Loss,2026-01-31,5009,Salaries & Wages,348000
Profit and Loss,2026-01-31,5010,Software Subscriptions,37500
Profit and Loss,2026-01-31,5011,Travel,890
Profit and Loss,2026-01-31,5016,Chargeback Losses,15200
Profit and Loss,2026-01-31,5017,Insurance,1900
