Date,Account id,Account name,Vendor/Payee,Memo,Amount,Type
2026-01-03,5010,Software Subscriptions,Sigma Computing,Annual BI platform - Jan allocation,3200.00,Bill
2026-01-03,5010,Software Subscriptions,Coupler.io,Data integration - monthly,890.00,Bill
2026-01-03,5010,Software Subscriptions,TaxJar,Sales tax automation - monthly,1540.00,Bill
2026-01-05,5010,Software Subscriptions,Slack,Business+ plan - monthly,2180.00,Bill
2026-01-05,5010,Software Subscriptions,Notion,Team plan - monthly,640.00,Bill
2026-01-05,5010,Software Subscriptions,Google Workspace,Business Standard - monthly,1920.00,Bill
2026-01-07,5010,Software Subscriptions,AWS,Cloud hosting - January,8430.00,Bill
2026-01-07,5010,Software Subscriptions,Vercel,Pro plan - monthly,420.00,Bill
2026-01-08,5010,Software Subscriptions,1Password,Business plan - monthly,285.00,Bill
2026-01-08,5010,Software Subscriptions,Datadog,Infrastructure monitoring - monthly,3150.00,Bill
2026-01-10,5010,Software Subscriptions,Linear,Project management - monthly,340.00,Bill
2026-01-12,5010,Software Subscriptions,Figma,Design tool - monthly,450.00,Bill
2026-01-15,5010,Software Subscriptions,GitHub,Team plan - monthly,525.00,Bill
2026-01-18,5010,Software Subscriptions,Sentry,Error monitoring - monthly,290.00,Bill
2026-01-20,5010,Software Subscriptions,Zendesk,Support platform - monthly,780.00,Bill
2026-01-22,5010,Software Subscriptions,DocuSign,Business plan - monthly,320.00,Bill
2026-01-25,5010,Software Subscriptions,Vanta,SOC 2 compliance - monthly,2100.00,Bill
2026-01-28,5010,Software Subscriptions,Ramp,Expense management platform,240.00,Bill
2026-01-28,5010,Software Subscriptions,Stripe Atlas,Registered agent fee,100.00,Bill
2026-01-31,5010,Software Subscriptions,Other misc,Various small subscriptions,9700.00,Journal Entry
2026-02-03,5010,Software Subscriptions,Sigma Computing,Annual BI platform - Feb allocation,3200.00,Bill
2026-02-03,5010,Software Subscriptions,Coupler.io,Data integration - monthly,890.00,Bill
2026-02-03,5010,Software Subscriptions,TaxJar,Sales tax automation - monthly,1540.00,Bill
2026-02-05,5010,Software Subscriptions,Slack,Business+ plan - monthly,2180.00,Bill
2026-02-05,5010,Software Subscriptions,Notion,Team plan - monthly,640.00,Bill
2026-02-05,5010,Software Subscriptions,Google Workspace,Business Standard - monthly,1920.00,Bill
2026-02-07,5010,Software Subscriptions,AWS,Cloud hosting - February,7920.00,Bill
2026-02-07,5010,Software Subscriptions,Vercel,Pro plan - monthly,420.00,Bill
2026-02-08,5010,Software Subscriptions,1Password,Business plan - monthly,285.00,Bill
2026-02-08,5010,Software Subscriptions,Datadog,Infrastructure monitoring - monthly,3150.00,Bill
