Report,Report date,Account id,Account name,Amount
Profit and Loss,2026-02-28,1150040022,Persona Fees,17462
Profit and Loss,2026-02-28,24,Ask My Accountant,31494
Profit and Loss,2026-02-28,9,Bank Charges & Fees,43
Profit and Loss,2026-02-28,13,Legal & Professional Services,15883
Profit and Loss,2026-02-28,51,Office Expenses,41
Profit and Loss,2026-02-28,10,Contractors - US,147423
Profit and Loss,2026-02-28,1150040014,Employee Benefits,-37831
Profit and Loss,2026-02-28,1150040012,Payroll Taxes Expenses,24847
Profit and Loss,2026-02-28,1150040032,Salary & Wages - US,257936
Profit and Loss,2026-02-28,16,Software Expenses,41247
Profit and Loss,2026-01-31,5,Payin Revenue,10133205
Profit and Loss,2026-01-31,1150040023,CKO Fees,3833168
Profit and Loss,2026-01-31,24,Ask My Accountant,98868
Profit and Loss,2026-01-31,9,Bank Charges & Fees,46
Profit and Loss,2026-01-31,13,Legal & Professional Services,423853
Profit and Loss,2026-01-31,51,Office Expenses,41
Profit and Loss,2026-01-31,10,Contractors - US,75980
Profit and Loss,2026-01-31,1150040014,Employee Benefits,-24354
Profit and Loss,2026-01-31,1150040012,Payroll Taxes Expenses,22346
Profit and Loss,2026-01-31,1150040032,Salary & Wages - US,165688
Profit and Loss,2026-01-31,16,Software Expenses,79168
Profit and Loss,2026-01-31,22,Travel,144
Profit and Loss,2026-01-31,2,Uncategorized Expense,10000
Profit and Loss,2026-01-31,54,Dividend Income,3
Profit and Loss,2025-12-31,5,Payin Revenue,9546599
Profit and Loss,2025-12-31,1150040007,Payout Revenue,1915599
Profit and Loss,2025-12-31,67,APT Pay,6480
Profit and Loss,2025-12-31,1150040024,Bridge Fees,236724
Profit and Loss,2025-12-31,1150040023,CKO Fees,3717134
Profit and Loss,2025-12-31,66,CoinMe,20000
Profit and Loss,2025-12-31,1150040022,Persona Fees,20633
Profit and Loss,2025-12-31,1150040040,Sardine Fees,30265
Profit and Loss,2025-12-31,1150040021,SIFT Fees,1474
Profit and Loss,2025-12-31,7,Advertising & Marketing,108350
Profit and Loss,2025-12-31,9,Bank Charges & Fees,3607
Profit and Loss,2025-12-31,1150040028,Chargeback Losses,80036
Profit and Loss,2025-12-31,11,Insurance,1035
Profit and Loss,2025-12-31,13,Legal & Professional Services,65564
Profit and Loss,2025-12-31,1150040017,Meals & Entertainment,91
Profit and Loss,2025-12-31,1150040019,Entertainment,77
Profit and Loss,2025-12-31,14,Meals,20538
Profit and Loss,2025-12-31,51,Office Expenses,1655
Profit and Loss,2025-12-31,15,Other Business Expenses,207
Profit and Loss,2025-12-31,1150040025,Professional Licenses,7848
Profit and Loss,2025-12-31,18,Rent & Lease Expenses,2927
Profit and Loss,2025-12-31,1150040037,Contractor - SG,34000
Profit and Loss,2025-12-31,10,Contractors - US,121543
Profit and Loss,2025-12-31,1150040014,Employee Benefits,6987
Profit and Loss,2025-12-31,1150040013,Payroll Processing Fees,680
Profit and Loss,2025-12-31,1150040012,Payroll Taxes Expenses,8062
