Report date,Account id,Account name,Vendor/Description,Amount
2026-02-28,5010,Software Subscriptions,AWS (Infrastructure),6820
2026-02-28,5010,Software Subscriptions,Datadog (Monitoring),2340
2026-02-28,5010,Software Subscriptions,Slack (Communication),1890
2026-02-28,5010,Software Subscriptions,Google Workspace,1450
2026-02-28,5010,Software Subscriptions,Notion (Knowledge Base),680
2026-02-28,5010,Software Subscriptions,GitHub Enterprise,1240
2026-02-28,5010,Software Subscriptions,Jira (Project Mgmt),890
2026-02-28,5010,Software Subscriptions,Figma (Design),520
2026-02-28,5010,Software Subscriptions,1Password (Security),380
2026-02-28,5010,Software Subscriptions,QuickBooks Online,790
2026-02-28,5010,Software Subscriptions,Coupler.io (Data Sync),440
2026-02-28,5010,Software Subscriptions,Sigma Computing (BI),1270
2026-02-28,5006,Contractors,Acme Dev LLC (Backend Engineering),28400
2026-02-28,5006,Contractors,Pixel Perfect (UI/UX Design),14200
2026-02-28,5006,Contractors,DataVault Inc (Data Engineering),11800
2026-02-28,5006,Contractors,ComplianceFirst (Regulatory Consulting),8640
2026-02-28,5006,Contractors,CloudOps Partners (DevOps),6700
2026-02-28,5004,Legal & Professional Services,Morrison & Foerster (Corporate Counsel),3200
2026-02-28,5004,Legal & Professional Services,PwC (Tax Advisory),2100
2026-02-28,5004,Legal & Professional Services,Moss Adams (Audit Prep),1420
2026-02-28,5004,Legal & Professional Services,Perkins Coie (Regulatory),800
2026-02-28,5001,KYC Verification Fees,Persona (Identity Verification),5740
2026-02-28,5001,KYC Verification Fees,Middesk (Business Verification),2500
2026-02-28,5009,Salaries & Wages,Engineering Team,58200
2026-02-28,5009,Salaries & Wages,Finance Team,28400
2026-02-28,5009,Salaries & Wages,Operations Team,21800
2026-02-28,5009,Salaries & Wages,Product Team,13610
2026-02-28,5002,Unallocated Expenses,Misc Office Supplies,4280
2026-02-28,5002,Unallocated Expenses,Team Events,6120
2026-02-28,5002,Unallocated Expenses,Conference Badges & Swag,4470
2026-01-31,5010,Software Subscriptions,AWS (Infrastructure),12480
2026-01-31,5010,Software Subscriptions,Datadog (Monitoring),2340
2026-01-31,5010,Software Subscriptions,Slack (Communication),1890
2026-01-31,5010,Software Subscriptions,Google Workspace,1450
2026-01-31,5010,Software Subscriptions,Notion (Knowledge Base),680
2026-01-31,5010,Software Subscriptions,GitHub Enterprise,1240
2026-01-31,5010,Software Subscriptions,Jira (Project Mgmt),890
2026-01-31,5010,Software Subscriptions,Figma (Design),520
2026-01-31,5010,Software Subscriptions,1Password (Security),380
2026-01-31,5010,Software Subscriptions,QuickBooks Online,790
2026-01-31,5010,Software Subscriptions,Coupler.io (Data Sync),440
2026-01-31,5010,Software Subscriptions,Sigma Computing (BI),1270
2026-01-31,5010,Software Subscriptions,Cloudflare (CDN/Security),6200
2026-01-31,5010,Software Subscriptions,TaxJar (Tax Automation),4900
2026-01-31,5010,Software Subscriptions,HubSpot (CRM),2000
2026-01-31,5006,Contractors,Acme Dev LLC (Backend Engineering),12400
2026-01-31,5006,Contractors,Pixel Perfect (UI/UX Design),8200
2026-01-31,5006,Contractors,DataVault Inc (Data Engineering),6800
2026-01-31,5006,Contractors,ComplianceFirst (Regulatory Consulting),4250
2026-01-31,5006,Contractors,CloudOps Partners (DevOps),4300
2026-01-31,5004,Legal & Professional Services,Morrison & Foerster (Corporate Counsel),92400
2026-01-31,5004,Legal & Professional Services,PwC (Tax Advisory),48200
2026-01-31,5004,Legal & Professional Services,Moss Adams (Audit Prep),34600
2026-01-31,5004,Legal & Professional Services,Perkins Coie (Regulatory),18780
2026-01-31,5004,Legal & Professional Services,Deloitte (Transfer Pricing Study),6600
2026-01-31,5001,KYC Verification Fees,Persona (Identity Verification),0
2026-01-31,5001,KYC Verification Fees,Middesk (Business Verification),0
2026-01-31,5009,Salaries & Wages,Engineering Team,38200
2026-01-31,5009,Salaries & Wages,Finance Team,18400
2026-01-31,5009,Salaries & Wages,Operations Team,13200
2026-01-31,5009,Salaries & Wages,Product Team,8610
2026-01-31,5002,Unallocated Expenses,Misc Office Supplies,18340
2026-01-31,5002,Unallocated Expenses,Team Events,14200
2026-01-31,5002,Unallocated Expenses,Conference Badges & Swag,8640
2026-01-31,5002,Unallocated Expenses,Uncategorized Vendor Payments,5600
2025-12-31,5010,Software Subscriptions,AWS (Infrastructure),8940
2025-12-31,5010,Software Subscriptions,Datadog (Monitoring),2340
2025-12-31,5010,Software Subscriptions,Slack (Communication),1890
2025-12-31,5010,Software Subscriptions,Google Workspace,1450
2025-12-31,5010,Software Subscriptions,Notion (Knowledge Base),680
2025-12-31,5010,Software Subscriptions,GitHub Enterprise,1240
2025-12-31,5010,Software Subscriptions,Jira (Project Mgmt),890
2025-12-31,5010,Software Subscriptions,Figma (Design),520
2025-12-31,5010,Software Subscriptions,1Password (Security),380
2025-12-31,5010,Software Subscriptions,QuickBooks Online,790
2025-12-31,5010,Software Subscriptions,Coupler.io (Data Sync),440
2025-12-31,5010,Software Subscriptions,Sigma Computing (BI),1270
2025-12-31,5010,Software Subscriptions,Cloudflare (CDN/Security - Annual),4200
2025-12-31,5010,Software Subscriptions,Linear (Eng Planning),1200
2025-12-31,5006,Contractors,Acme Dev LLC (Backend Engineering),22600
2025-12-31,5006,Contractors,Pixel Perfect (UI/UX Design),12200
2025-12-31,5006,Contractors,DataVault Inc (Data Engineering),9400
2025-12-31,5006,Contractors,ComplianceFirst (Regulatory Consulting),7110
2025-12-31,5006,Contractors,CloudOps Partners (DevOps),6200
2025-12-31,5004,Legal & Professional Services,Morrison & Foerster (Corporate Counsel),14200
2025-12-31,5004,Legal & Professional Services,PwC (Tax Advisory),8400
2025-12-31,5004,Legal & Professional Services,Moss Adams (Audit Prep),5620
2025-12-31,5004,Legal & Professional Services,Perkins Coie (Regulatory),2800
2025-12-31,5015,Advertising & Marketing,Google Ads,22400
2025-12-31,5015,Advertising & Marketing,LinkedIn Ads,12800
2025-12-31,5015,Advertising & Marketing,Content Marketing (Freelance),8400
2025-12-31,5015,Advertising & Marketing,Sponsorships & Events,4870
2025-12-31,5015,Advertising & Marketing,Brand Design Assets,2800
